Date,Open,High,Low,Close,Adj Close,Volume
2009-08-03,93.809998,93.870003,92.610001,93.059998,62.322205,4029300
2009-08-04,93.629997,93.720001,91.669998,92.320000,61.826584,3832200
2009-08-05,91.309998,92.750000,90.870003,90.940002,60.902451,4458300
2009-08-06,90.900002,91.889999,90.419998,91.250000,61.110046,3228500
2009-08-07,90.419998,90.930000,90.220001,90.489998,60.601032,3543200
2009-08-10,90.510002,91.639999,90.410004,91.620003,61.357803,3150100
2009-08-11,92.389999,92.870003,91.989998,92.680000,62.067753,3677800
2009-08-12,92.949997,93.070000,91.089996,91.690002,61.404697,4729200
2009-08-13,91.800003,93.150002,91.500000,92.989998,62.275330,3922300
2009-08-14,93.300003,94.199997,93.209999,93.349998,62.516396,4410400
2009-08-17,93.949997,94.750000,93.870003,94.730003,63.440620,3569700
2009-08-18,94.660004,94.769997,94.010002,94.180000,63.072227,2557900
2009-08-19,95.169998,95.370003,94.410004,94.959999,63.594585,3518200
2009-08-20,95.379997,95.870003,94.779999,95.739998,64.116951,3282700
2009-08-21,95.639999,95.730003,93.750000,93.769997,62.797665,6258300
2009-08-24,93.489998,95.470001,93.459999,95.470001,63.936176,4460200
2009-08-25,95.370003,96.089996,94.910004,96.010002,64.297775,3359700
2009-08-26,96.180000,96.550003,95.910004,96.449997,64.592491,3225800
2009-08-27,96.180000,96.620003,95.730003,96.070000,64.337959,2514000
2009-08-28,95.440002,96.510002,95.309998,96.510002,64.632668,2072500
2009-08-31,96.360001,96.860001,95.760002,96.599998,64.692932,2899800
2009-09-01,95.820000,96.580002,95.139999,96.059998,64.536407,3304200
2009-09-02,96.480003,97.660004,96.239998,97.459999,65.476982,4345000
2009-09-03,96.839996,97.120003,96.550003,96.860001,65.073914,2703800
2009-09-04,96.440002,96.599998,95.059998,95.209999,63.965290,3643000
2009-09-08,94.480003,95.370003,94.360001,94.540001,63.515236,2468900
2009-09-09,93.889999,94.430000,93.519997,94.430000,63.441307,3182400
2009-09-10,94.930000,96.709999,94.910004,96.169998,64.610268,4417300
2009-09-11,96.820000,97.680000,96.599998,96.699997,64.966347,4826200
2009-09-14,96.019997,96.669998,95.650002,95.739998,64.321381,2119500
2009-09-15,95.190002,95.769997,95.070000,95.250000,63.992168,2187900
2009-09-16,95.339996,95.949997,94.599998,95.419998,64.106422,3732300
2009-09-17,95.690002,96.730003,95.169998,96.620003,64.912643,2832000
2009-09-18,96.199997,96.529999,95.669998,95.760002,64.334816,2813300
2009-09-21,96.099998,96.489998,95.360001,95.980003,64.482658,3050200
2009-09-22,95.650002,96.370003,95.510002,96.180000,64.616974,2068000
2009-09-23,95.940002,96.580002,95.199997,96.470001,64.811829,5712000
2009-09-24,96.500000,97.089996,96.169998,96.750000,64.999992,4658400
2009-09-25,97.360001,98.059998,96.769997,97.980003,65.826294,3854500
2009-09-28,98.320000,98.930000,98.110001,98.839996,66.404083,4263300
