Date,Open,High,Low,Close,Adj Close,Volume
2009-11-12,111.980003,112.129997,111.839996,112.050003,90.072098,28500
2009-11-13,112.129997,112.180000,112.000000,112.180000,90.176567,23900
2009-11-16,112.129997,112.610001,112.099998,112.550003,90.474030,24100
2009-11-17,112.470001,112.699997,112.410004,112.629997,90.538322,90500
2009-11-18,112.639999,112.639999,112.449997,112.550003,90.474030,64000
2009-11-19,112.650002,112.830002,112.550003,112.690002,90.586594,71700
2009-11-20,112.779999,112.839996,112.610001,112.680000,90.578491,72200
2009-11-23,112.449997,112.680000,112.449997,112.680000,90.578491,72800
2009-11-24,112.730003,113.089996,112.730003,113.019997,90.851830,35400
2009-11-25,113.099998,113.250000,112.910004,113.230003,91.020638,137900
2009-11-27,113.660004,113.660004,113.470001,113.620003,91.334129,49900
2009-11-30,113.570000,113.750000,113.489998,113.739998,91.430634,55600
2009-12-01,113.230003,113.230003,112.970001,112.970001,91.222244,141900
2009-12-02,113.059998,113.059998,112.730003,112.790001,91.076889,27100
2009-12-03,112.459999,112.639999,112.430000,112.639999,90.955811,54300
2009-12-04,112.010002,112.120003,111.849998,112.019997,90.455116,47000
2009-12-07,112.070000,112.370003,112.059998,112.279999,90.665100,68600
2009-12-08,112.610001,112.739998,112.559998,112.639999,90.955811,40200
2009-12-09,112.690002,112.739998,112.370003,112.510002,90.850838,114000
2009-12-10,112.230003,112.349998,112.029999,112.239998,90.632790,166900
2009-12-11,111.940002,112.029999,111.769997,111.989998,90.430901,62700
2009-12-14,111.949997,112.010002,111.769997,111.779999,90.261353,83800
2009-12-15,111.500000,111.650002,111.430000,111.580002,90.099884,41400
2009-12-16,111.730003,111.839996,111.500000,111.599998,90.115974,115800
2009-12-17,112.080002,112.230003,111.959999,112.230003,90.624664,44300
2009-12-18,112.029999,112.120003,111.900002,111.910004,90.366333,23100
2009-12-21,111.620003,111.620003,111.260002,111.309998,89.881828,64400
2009-12-22,111.160004,111.160004,110.980003,111.000000,89.631485,68400
2009-12-23,111.129997,111.180000,110.889999,110.910004,89.558807,43600
2009-12-24,110.860001,110.879997,110.669998,110.709999,89.397316,22200
2009-12-28,110.529999,110.570000,110.360001,110.370003,89.122803,77100
2009-12-29,110.260002,110.339996,110.120003,110.339996,89.270821,38500
2009-12-30,110.269997,110.400002,110.199997,110.370003,89.295097,35900
2009-12-31,109.970001,110.160004,109.739998,110.160004,89.125244,158800
2010-01-04,110.160004,110.330002,110.110001,110.239998,89.189941,29200
2010-01-05,110.599998,110.750000,110.510002,110.589996,89.473114,83000
2010-01-06,110.639999,110.639999,110.339996,110.440002,89.351761,52400
2010-01-07,110.449997,110.599998,110.349998,110.400002,89.319336,63800
2010-01-08,110.699997,110.699997,110.510002,110.559998,89.448853,123200
2010-01-11,110.620003,110.739998,110.570000,110.680000,89.545891,59200
2010-01-12,111.099998,111.169998,110.980003,111.160004,89.934258,46800
2010-01-13,110.930000,111.080002,110.760002,110.790001,89.634972,190900
2010-01-14,111.059998,111.199997,110.959999,111.059998,89.853340,169800
