timestamp,ticker,action,quantity,exchange,price,commission
2009-08-05 00:00:00,IEI,SLD,2000,ARCA,109.89,10.0
2009-08-05 00:00:00,TLT,BOT,2870,ARCA,90.94,14.35
2009-08-06 00:00:00,IEI,BOT,2000,ARCA,109.91,10.0
2009-08-06 00:00:00,TLT,SLD,2870,ARCA,91.25,14.35
2009-08-10 00:00:00,IEI,BOT,2000,ARCA,109.94,10.0
2009-08-10 00:00:00,TLT,SLD,2850,ARCA,91.62,14.25
2009-08-12 00:00:00,IEI,SLD,2000,ARCA,110.23,10.0
2009-08-12 00:00:00,TLT,BOT,2850,ARCA,91.69,14.25
2009-08-13 00:00:00,IEI,BOT,2000,ARCA,110.73,10.0
2009-08-13 00:00:00,TLT,SLD,2828,ARCA,92.99,14.14
2009-08-14 00:00:00,IEI,SLD,2000,ARCA,110.98,10.0
2009-08-14 00:00:00,TLT,BOT,2828,ARCA,93.35,14.14
2009-08-17 00:00:00,IEI,BOT,2000,ARCA,111.52,10.0
2009-08-17 00:00:00,TLT,SLD,2796,ARCA,94.73,13.98
2009-08-18 00:00:00,IEI,SLD,2000,ARCA,111.28,10.0
2009-08-18 00:00:00,TLT,BOT,2796,ARCA,94.18,13.98
2009-08-21 00:00:00,IEI,SLD,2000,ARCA,110.8,10.0
2009-08-21 00:00:00,TLT,BOT,2806,ARCA,93.77,14.03
2009-08-24 00:00:00,IEI,BOT,2000,ARCA,111.28,10.0
2009-08-24 00:00:00,TLT,SLD,2806,ARCA,95.47,14.03
2009-09-02 00:00:00,IEI,BOT,2000,ARCA,112.37,10.0
2009-09-02 00:00:00,TLT,SLD,2735,ARCA,97.46,13.675
2009-09-03 00:00:00,IEI,SLD,2000,ARCA,112.1,10.0
2009-09-03 00:00:00,TLT,BOT,2735,ARCA,96.86,13.675
2009-09-04 00:00:00,IEI,SLD,2000,ARCA,111.83,10.0
2009-09-04 00:00:00,TLT,BOT,2786,ARCA,95.21,13.93
2009-09-08 00:00:00,IEI,BOT,2000,ARCA,111.75,10.0
2009-09-08 00:00:00,TLT,SLD,2786,ARCA,94.54,13.93
2009-09-10 00:00:00,IEI,BOT,2000,ARCA,112.19,10.0
2009-09-10 00:00:00,TLT,SLD,2767,ARCA,96.17,13.835
2009-09-11 00:00:00,IEI,SLD,2000,ARCA,112.21,10.0
2009-09-11 00:00:00,TLT,BOT,2767,ARCA,96.7,13.835
2009-09-14 00:00:00,IEI,SLD,2000,ARCA,111.98,10.0
2009-09-14 00:00:00,TLT,BOT,2774,ARCA,95.74,13.87
2009-09-15 00:00:00,IEI,BOT,2000,ARCA,111.79,10.0
2009-09-15 00:00:00,TLT,SLD,2774,ARCA,95.25,13.87
2009-09-17 00:00:00,IEI,BOT,2000,ARCA,111.84,10.0
2009-09-17 00:00:00,TLT,SLD,2746,ARCA,96.62,13.73
2009-09-18 00:00:00,IEI,SLD,2000,ARCA,111.47,10.0
2009-09-18 00:00:00,TLT,BOT,2746,ARCA,95.76,13.73
2009-09-25 00:00:00,IEI,BOT,2000,ARCA,112.19,10.0
